episode,win_rate,epsilon
85900,0.76,0.1
86000,0.725,0.1
86100,0.815,0.1
86200,0.845,0.1
86300,0.785,0.1
86400,0.72,0.1
86500,0.715,0.1
86600,0.645,0.1
86700,0.795,0.1
86800,0.855,0.1
86900,0.84,0.1
87000,0.815,0.1
87100,0.81,0.1
87200,0.82,0.1
87300,0.78,0.1
87400,0.735,0.1
87500,0.775,0.1
87600,0.8,0.1
87700,0.83,0.1
87800,0.735,0.1
87900,0.805,0.1
88000,0.83,0.1
88100,0.815,0.1
88200,0.825,0.1
88300,0.68,0.1
88400,0.645,0.1
88500,0.625,0.1
88600,0.615,0.1
88700,0.795,0.1
88800,0.67,0.1
88900,0.72,0.1
89000,0.72,0.1
89100,0.77,0.1
89200,0.635,0.1
89300,0.785,0.1
89400,0.72,0.1
89500,0.735,0.1
89600,0.815,0.1
89700,0.75,0.1
89800,0.805,0.1
89900,0.77,0.1
90000,0.64,0.1
90100,0.7,0.1
90200,0.68,0.1
90300,0.69,0.1
90400,0.735,0.1
90500,0.765,0.1
90600,0.755,0.1
90700,0.775,0.1
90800,0.665,0.1
90900,0.68,0.1
91000,0.78,0.1
91100,0.82,0.1
91200,0.83,0.1
91300,0.73,0.1
91400,0.825,0.1
91500,0.79,0.1
91600,0.775,0.1
91700,0.83,0.1
91800,0.765,0.1
91900,0.795,0.1
92000,0.83,0.1
92100,0.58,0.1
92200,0.77,0.1
92300,0.725,0.1
92400,0.7,0.1
92500,0.575,0.1
92600,0.605,0.1
92700,0.695,0.1
92800,0.685,0.1
92900,0.715,0.1
93000,0.84,0.1
93100,0.785,0.1
93200,0.705,0.1
93300,0.79,0.1
93400,0.79,0.1
93500,0.805,0.1
93600,0.73,0.1
93700,0.775,0.1
93800,0.57,0.1
93900,0.745,0.1
94000,0.81,0.1
94100,0.77,0.1
94200,0.815,0.1
94300,0.78,0.1
94400,0.835,0.1
94500,0.655,0.1
94600,0.63,0.1
94700,0.755,0.1
94800,0.82,0.1
94900,0.785,0.1
95000,0.84,0.1
95100,0.77,0.1
95200,0.785,0.1
95300,0.79,0.1
95400,0.83,0.1
95500,0.73,0.1
95600,0.865,0.1
95700,0.85,0.1
95800,0.84,0.1
95900,0.77,0.1
96000,0.835,0.1
96100,0.88,0.1
96200,0.81,0.1
96300,0.795,0.1
96400,0.815,0.1
96500,0.86,0.1
96600,0.855,0.1
96700,0.78,0.1
96800,0.765,0.1
96900,0.71,0.1
97000,0.69,0.1
97100,0.685,0.1
97200,0.72,0.1
97300,0.655,0.1
97400,0.835,0.1
97500,0.785,0.1
97600,0.79,0.1
97700,0.59,0.1
97800,0.79,0.1
97900,0.79,0.1
98000,0.76,0.1
98100,0.775,0.1
98200,0.775,0.1
98300,0.8,0.1
98400,0.875,0.1
98500,0.83,0.1
98600,0.8,0.1
98700,0.695,0.1
98800,0.81,0.1
98900,0.805,0.1
99000,0.64,0.1
99100,0.665,0.1
99200,0.75,0.1
99300,0.78,0.1
99400,0.82,0.1
99500,0.74,0.1
99600,0.77,0.1
99700,0.825,0.1
99800,0.725,0.1
99900,0.72,0.1
100000,0.705,0.1
